"player","runs","balls","fours","sixes","strike_rate","matches_played","dismissals","batting_average"
"KL Rahul",2278,1696,192,99,134.316037735849,71,61,37.344262295082
"Mandeep Singh",87,74,11,1,117.567567567568,3,2,43.5
"AT Rayudu",42,51,5,0,82.3529411764706,6,4,10.5
"MK Pandey",709,583,49,19,121.612349914237,39,16,44.3125
"KM Jadhav",122,102,12,3,119.607843137255,9,6,20.3333333333333
"MS Dhoni",1617,1332,116,52,121.396396396396,97,43,37.6046511627907
"AR Patel",361,267,27,16,135.205992509363,52,19,19
"R Dhawan",1,3,0,0,33.3333333333333,1,0,0
"JJ Bumrah",8,14,1,0,57.1428571428571,61,2,4
"JD Unadkat",0,0,0,0,NA,10,0,0
"YS Chahal",6,13,0,0,46.1538461538462,80,2,3
"DS Kulkarni",1,2,0,0,50,2,0,0
"BB Sran",0,0,0,0,NA,2,0,0
"V Kohli",4041,3017,361,117,133.941000994365,116,79,51.1518987341772
"SK Raina",1605,1259,145,58,127.48212867355,78,55,29.1818181818182
"Yuvraj Singh",1177,906,77,74,129.911699779249,57,42,28.0238095238095
"HH Pandya",1348,1002,96,69,134.530938123752,92,53,25.4339622641509
"Parvez Rasool",5,6,0,0,83.3333333333333,1,1,5
"A Nehra",28,42,1,2,66.6666666666667,27,5,5.6
"A Mishra",0,0,0,0,NA,10,1,0
"RR Pant",1007,835,87,38,120.59880239521,65,45,22.3777777777778
"RG Sharma",3981,2920,360,190,136.335616438356,151,128,31.1015625
"AM Rahane",375,347,32,6,108.06916426513,20,18,20.8333333333333
"STR Binny",35,30,2,1,116.666666666667,3,2,17.5
"R Ashwin",184,167,17,4,110.179640718563,65,7,26.2857142857143
"RA Jadeja",480,404,36,13,118.811881188119,66,21,22.8571428571429
"Mohammed Shami",0,2,0,0,0,23,1,0
"B Kumar",68,97,0,0,70.1030927835051,87,8,8.5
"S Dhawan",1835,1482,201,52,123.819163292848,67,64,28.671875
"KD Karthik",716,513,75,29,139.571150097466,58,26,27.5384615384615
"Kuldeep Yadav",50,63,3,0,79.3650793650794,34,4,12.5
"UT Yadav",22,28,2,0,78.5714285714286,9,1,22
"DL Chahar",53,28,4,4,189.285714285714,25,2,26.5
"S Kaul",0,0,0,0,NA,3,0,0
"SS Iyer",1104,829,90,44,133.172496984318,50,36,30.6666666666667
"Mohammed Siraj",7,8,1,0,87.5,10,1,7
"SN Thakur",69,40,5,4,172.5,24,3,23
"Washington Sundar",107,80,10,6,133.75,42,10,10.7
"V Shankar",101,77,11,5,131.168831168831,9,4,25.25
"KH Pandya",126,102,8,6,123.529411764706,19,6,21
"KK Ahmed",1,1,0,0,100,14,0,0
"M Markande",0,0,0,0,NA,1,0,0
"Navdeep Saini",12,11,2,0,109.090909090909,10,0,0
"S Dube",276,200,19,15,138,20,7,39.4285714285714
"SV Samson",374,290,31,15,128.965517241379,25,20,18.7
"RD Chahar",5,5,1,0,100,6,1,5
"T Natarajan",0,0,0,0,NA,4,0,0
"Ishan Kishan",796,669,79,36,118.98355754858,32,31,25.6774193548387
